dual_gaps,LMO_calls,grad_calls,obj_calls,memory,times
6.354858981137971e-6,256.0,550.0,1058.0,10878.381553032,3641.076070886
5.999751943736356e-6,244.0,526.0,1010.0,10468.23746308,3638.643243928
5.999751943736356e-6,244.0,523.0,1005.0,10468.23746308,3633.571587424
5.97147902751788e-6,244.0,524.0,1007.0,10507.47722684,3642.011473848
5.986194145377914e-6,248.0,532.0,1022.0,10645.53580356,3640.801331361
6.00291851351251e-6,246.0,530.0,1018.0,10602.693522456,3637.766286579
5.999751943736356e-6,244.0,524.0,1007.0,10468.23746308,3634.007890298
5.999751943736356e-6,244.0,523.0,1005.0,10468.23746308,3641.184271542
6.00291851351251e-6,245.0,526.0,1012.0,10602.693522456,3635.26205347
6.057267510857127e-6,238.0,510.0,980.0,9812.295119832,3669.533783631
