dual_gaps,LMO_calls,grad_calls,obj_calls,memory,times
9.179796921915395e-8,63.0,2576.0,2436.0,0.922990648,0.562439879
9.179796921915395e-8,63.0,2576.0,2436.0,0.922990648,0.572485671
9.179796921915395e-8,63.0,2576.0,2436.0,0.922990648,0.549339291
9.179796921915395e-8,63.0,2576.0,2436.0,0.922990648,0.559122139
9.179796921915395e-8,63.0,2576.0,2436.0,0.922990648,0.556535781
9.179796921915395e-8,63.0,2576.0,2436.0,0.922990648,0.544467375
9.179796921915395e-8,63.0,2576.0,2436.0,0.922990648,0.562891641
9.179796921915395e-8,63.0,2576.0,2436.0,0.922990648,0.576181375
9.179796921915395e-8,63.0,2576.0,2436.0,0.922990648,0.560410759
9.179796921915395e-8,63.0,2576.0,2436.0,0.922990648,0.561578147
