dual_gaps,LMO_calls,grad_calls,obj_calls,memory,times
9.767933218524094e-8,1454.0,3128.0,6031.0,10.286413488,141.497069213
9.767933218524094e-8,1454.0,3128.0,6031.0,10.286413488,136.938271255
9.767933218524094e-8,1454.0,3128.0,6031.0,10.286413488,159.233534995
9.767933218524094e-8,1454.0,3128.0,6031.0,10.286413488,158.049149952
9.767933218524094e-8,1454.0,3128.0,6031.0,10.286413488,169.890639571
9.767933218524094e-8,1454.0,3128.0,6031.0,10.286413488,138.59331929
9.767933218524094e-8,1454.0,3128.0,6031.0,10.286413488,137.706463397
9.767933218524094e-8,1454.0,3128.0,6031.0,10.286413488,142.943898272
9.767933218524094e-8,1454.0,3128.0,6031.0,10.286413488,150.322032465
9.767933218524094e-8,1454.0,3128.0,6031.0,10.286413488,146.350111982
