dual_gaps,LMO_calls,grad_calls,obj_calls,memory,times
1.694519296725602e7,2196.0,11387.0,10605.0,0.409758616,900.89498569
1.689000709088399e7,2188.0,11336.0,10557.0,0.411751496,900.853955875
1.6594569494959677e7,2180.0,11434.0,10649.0,0.410328056,900.964855746
2.100198915256202e7,2171.0,11420.0,10635.0,0.400165912,900.913504418
1.9362202164850775e7,2138.0,11164.0,10396.0,0.403709512,901.134058252
1.6566591016104927e7,2168.0,11464.0,10676.0,0.409862936,900.925654745
1.6994710135413665e7,2191.0,11294.0,10518.0,0.411466536,901.056859566
1.6953313626649242e7,2189.0,11364.0,10583.0,0.410752456,900.950494488
1.893973507653944e7,2186.0,11356.0,10576.0,0.405359992,901.039911871
1.7205595654628463e7,2204.0,11331.0,10553.0,0.410901896,901.015632411
