dual_gaps,LMO_calls,grad_calls,obj_calls,memory,times
1.1503180198570856e-7,752.0,1619.0,752.0,0.07235728,3.296087662
1.150318019779023e-7,752.0,1619.0,752.0,0.07236496,2.572495009
1.1503180200479052e-7,752.0,1619.0,752.0,0.07242896,2.50595358
1.1503180200218843e-7,752.0,1619.0,752.0,0.07237776,2.544110567
1.150318019961169e-7,752.0,1619.0,752.0,0.07241104,2.568809611
1.1503180200045371e-7,752.0,1619.0,752.0,0.07232656,3.436356338
1.1503180199871899e-7,752.0,1619.0,752.0,0.0723624,3.981918602
1.1503180197530022e-7,752.0,1619.0,752.0,0.07239056,2.411039079
1.150318020186683e-7,752.0,1619.0,752.0,0.07236752,2.411799486
1.1503180200045371e-7,752.0,1619.0,752.0,0.07239056,2.530755411
809249327
.84954522
