dual_gaps,LMO_calls,grad_calls,obj_calls,memory,times
1.0861479270900126e-7,296.0,636.0,590.0,450.383427072,146.343097539
1.0861479270900126e-7,296.0,636.0,590.0,450.383427072,146.789854477
1.0861479270900126e-7,296.0,636.0,590.0,450.383427072,147.46461749
1.0861479270900126e-7,296.0,636.0,590.0,450.383427072,144.208857332
1.0861479270900126e-7,296.0,636.0,590.0,450.383427072,143.817074719
1.0861479270900126e-7,296.0,636.0,590.0,450.383427072,143.819533775
1.0861479270900126e-7,296.0,636.0,590.0,450.383427072,152.922696961
1.0861479270900126e-7,296.0,636.0,590.0,450.383427072,144.988120047
1.0861479270900126e-7,296.0,636.0,590.0,450.383427072,144.028043084
1.0861479270900126e-7,296.0,636.0,590.0,450.383427072,146.675336469
