dual_gaps,LMO_calls,grad_calls,obj_calls,memory,times
3.681221358645126e-8,62.0,134.0,62.0,0.048788736,2.541429568
1.766968451069606e-8,63.0,135.0,63.0,0.048936608,0.979198664
2.1896892927336653e-8,63.0,135.0,63.0,0.048928928,1.401581571
1.908712418327574e-8,63.0,135.0,63.0,0.048939168,1.927586913
1.8000624366076856e-8,63.0,135.0,63.0,0.048900768,2.873879547
1.6884828667185214e-8,63.0,135.0,63.0,0.048923808,1.006773488
1.742204845667228e-8,62.0,134.0,62.0,0.048918688,1.021121876
2.1372119664297973e-8,63.0,135.0,63.0,0.048923808,1.011266762
2.025802818203526e-8,63.0,135.0,63.0,0.048923808,1.013815633
3.7193741381919e-8,62.0,134.0,62.0,0.048781056,1.057758074
.25612873
