dual_gaps,LMO_calls,grad_calls,obj_calls,memory,times
3.1600247769186796e-8,36.0,283.0,274.0,1.927952624,6.732059017
3.164622326690125e-8,36.0,282.0,274.0,1.927937264,6.524736917
3.150417572303499e-8,36.0,283.0,274.0,1.927947504,5.966885365
3.14972616807796e-8,36.0,283.0,274.0,1.927932144,2.665141797
3.216611079576159e-8,36.0,283.0,274.0,1.927934704,5.519743341
3.154832502877403e-8,36.0,283.0,274.0,1.927939824,3.725231936
3.150050495101531e-8,36.0,283.0,274.0,1.927937264,2.643235716
3.1477042902738894e-8,36.0,283.0,274.0,1.927947504,2.614166936
3.1500244867394e-8,36.0,283.0,274.0,1.927937264,2.620730452
4.9773334544200853e-8,36.0,282.0,274.0,1.870527472,2.511551295
759817
