dual_gaps,LMO_calls,grad_calls,obj_calls,memory,times
2.3897503045877677e-8,198.0,733.0,764.0,0.447112008,7.618666413
2.3897503045877677e-8,198.0,733.0,764.0,0.447112008,7.060833799
2.3897503045877677e-8,198.0,733.0,764.0,0.447112008,7.74221328
2.3897503045877677e-8,198.0,733.0,764.0,0.447112008,7.716190271
2.3897503045877677e-8,198.0,733.0,764.0,0.447112008,7.782894221
2.3897503045877677e-8,198.0,733.0,764.0,0.447112008,7.723763015
2.3897503045877677e-8,198.0,733.0,764.0,0.447112008,8.071559115
2.3897503045877677e-8,198.0,733.0,764.0,0.447112008,8.844817063
2.3897503045877677e-8,198.0,733.0,764.0,0.447112008,7.809749974
2.3897503045877677e-8,198.0,733.0,764.0,0.447112008,5.741706662
