dual_gaps,LMO_calls,grad_calls,obj_calls,memory,times
3.1738048322307866e-6,121430.0,306677.0,416562.0,18.938873752,3600.212915533
3.173804835068794e-6,116576.0,290008.0,397172.0,15.32572712,3600.091638152
3.173804837115768e-6,111261.0,278098.0,379945.0,13.130487544,3600.13486441
3.1738048325152812e-6,111208.0,277882.0,379774.0,18.2583158,3600.125624328
3.1738048317103695e-6,133307.0,329306.0,452770.0,19.14250016,3600.067340868
3.1738048249796424e-6,162968.0,409208.0,557552.0,27.195035664,3600.060384274
3.17380483264712e-6,129124.0,320514.0,439404.0,18.185831616,3600.125464517
3.1738048307458633e-6,141402.0,353157.0,482568.0,20.435796288,3601.247446088
3.1738048319254752e-6,135973.0,338608.0,463506.0,19.457768728,3600.106458386
3.173804833708771e-6,127722.0,317526.0,434973.0,17.050468728,3600.13007004
