dual_gaps,LMO_calls,grad_calls,obj_calls,memory,times
6.472367281616859e-5,265.0,570.0,1094.0,11121.531725048,3627.749577622
7.911486165938058e-5,250.0,536.0,1030.0,10468.326978328,3630.783657876
7.997778432528821e-5,250.0,537.0,1032.0,10619.35832612,3651.305876318
8.108183809338998e-5,250.0,538.0,1034.0,10650.33594716,3641.375149844
8.108183809338998e-5,251.0,539.0,1036.0,10650.33594716,3644.38842491
8.108183809338998e-5,250.0,538.0,1034.0,10650.33594716,3641.738388457
8.108183809338998e-5,252.0,540.0,1038.0,10650.33594716,3646.000203117
7.717969914832788e-5,252.0,540.0,1038.0,10744.955902456,3638.978705269
7.692551585215795e-5,252.0,542.0,1042.0,10781.995208424,3631.615856651
7.717969914832788e-5,254.0,546.0,1049.0,10744.955902456,3637.233458907
