dual_gaps,LMO_calls,grad_calls,obj_calls,memory,times
8.430052039765101e-8,427.0,898.0,428.0,0.292796792,0.623851878
8.430052039765101e-8,427.0,898.0,428.0,0.292796792,0.591330528
8.430052039765101e-8,427.0,898.0,428.0,0.292796792,0.609897368
8.430052039765101e-8,427.0,898.0,428.0,0.292796792,0.596960512
8.430052039765101e-8,427.0,898.0,428.0,0.292796792,0.599109148
8.430052039765101e-8,427.0,898.0,428.0,0.292796792,0.590192204
8.430052039765101e-8,427.0,898.0,428.0,0.292796792,0.600952951
8.430052039765101e-8,427.0,898.0,428.0,0.292796792,0.599157559
8.430052039765101e-8,427.0,898.0,428.0,0.292796792,0.59170375
8.430052039765101e-8,427.0,898.0,428.0,0.292796792,0.591769535
2291992,1.434434898
