avg std dim
1.0e-7 1.0 5000
1.0e-7 1.0 5000
1.0e-7 1.0 7000
1.0003491121476997e-7 1.000697859040081359186748366563107287921448697561795343216739069304273921825937 7000
1.0e-7 1.0 10000
1.0028513382946022e-7 1.005678492907496592946456385025568826389205166495149192901578736195751903522939 10000
1.0e-7 1.0 20000
1.0e-7 1.0 20000
