dual_gaps,LMO_calls,grad_calls,obj_calls,memory,times
1.0054658442990028e-7,1728.0,3718.0,3454.0,1.84977916,72.272857106
1.0054658442990028e-7,1728.0,3718.0,3454.0,1.84977916,72.139272316
1.0054658442990028e-7,1728.0,3718.0,3454.0,1.84977916,72.184100268
1.0054658442990028e-7,1728.0,3718.0,3454.0,1.84977916,72.173705645
1.0054658442990028e-7,1728.0,3718.0,3454.0,1.84977916,72.157311082
1.0054658442990028e-7,1728.0,3718.0,3454.0,1.84977916,72.137081724
1.0054658442990028e-7,1728.0,3718.0,3454.0,1.84977916,72.124847453
1.0054658442990028e-7,1728.0,3718.0,3454.0,1.84977916,67.436478109
1.0054658442990028e-7,1728.0,3718.0,3454.0,1.84977916,67.788603187
1.0054658442990028e-7,1728.0,3718.0,3454.0,1.84977916,67.429228235
41832
