dual_gaps,LMO_calls,grad_calls,obj_calls,memory,times
1.8508364121698484e-8,8.0,16.0,26.0,0.010776872,0.034042952
1.8508364113024867e-8,8.0,16.0,26.0,0.010774312,0.041548519
1.8508364115626952e-8,8.0,16.0,26.0,0.010776872,0.031936188
1.850836411475959e-8,8.0,16.0,26.0,0.010779432,0.03193168
1.850836411389223e-8,8.0,16.0,26.0,0.010776872,0.037107517
1.8508364107820696e-8,8.0,16.0,26.0,0.010779432,0.032060044
1.85083641190964e-8,8.0,16.0,26.0,0.010776872,0.03479557
1.8508364122565846e-8,8.0,16.0,26.0,0.010776872,0.03454361
1.8508364118229037e-8,8.0,16.0,26.0,0.010774312,0.031894455
1.8508364115626952e-8,8.0,16.0,26.0,0.010776872,0.064759946
