avg std dim
1.552011271116586e-6 3.437719231096339516966906733375356341794921863964794704687063798570892724907518 5000
7.170474420913831e-6 1.090953948650577676078642317258480496648149285336864796178723120706455371723028 5000
3.6040460347508736e-6 1.153216451037275165898300310280328405057315109268960479935312147303869495646884 7000
9.997348402525318e-6 1.128143849135280811126819735949474599606440813650208563636300765481597274594308 7000
5.091372596156823e-6 3.599737014315961473314036583643866744945149215258635597860014994835545595866643 10000
2.2593832997954687e-5 1.425245326962755730404025935939010843207771635914059678310671563947353489488311 10000
2.05278319961057e-5 1.255667404844728643983329100923406499350236237456442984756047209356910278834362 20000
5.716758216406496e-5 1.380123400279835626887575224390396151764699332028060301143907111967129015205931 20000
