dual_gaps,LMO_calls,grad_calls,obj_calls,memory,times
6.308151201742107e-8,757.0,14748.0,6884.0,542.367845408,415.68435355
6.308151201742107e-8,757.0,14748.0,6884.0,542.367845408,330.427845131
6.308151201742107e-8,757.0,14748.0,6884.0,542.367845408,412.911616424
6.308151201742107e-8,757.0,14748.0,6884.0,542.367845408,373.456839435
6.308151201742107e-8,757.0,14748.0,6884.0,542.367845408,439.592676106
6.308151201742107e-8,757.0,14748.0,6884.0,542.367845408,388.819150493
6.308151201742107e-8,757.0,14748.0,6884.0,542.367845408,309.70481292
6.308151201742107e-8,757.0,14748.0,6884.0,542.367845408,559.826510142
6.308151201742107e-8,757.0,14748.0,6884.0,542.367845408,410.171506992
6.308151201742107e-8,757.0,14748.0,6884.0,542.367845408,419.332052077
