n,min time,median time,mean time,max time,memory
10,7.08e-01 ms,1.04e+00 ms,1.06e+00 ms,3.12e+00 ms,2.41e+00 MB
20,3.22e+00 ms,5.91e+00 ms,5.89e+00 ms,9.46e+00 ms,1.00e+01 MB
30,7.08e+00 ms,1.21e+01 ms,1.18e+01 ms,2.49e+01 ms,2.31e+01 MB
40,1.28e+01 ms,2.39e+01 ms,2.25e+01 ms,2.98e+01 ms,4.08e+01 MB
50,1.97e+01 ms,3.74e+01 ms,3.53e+01 ms,1.01e+02 ms,6.37e+01 MB
60,2.92e+01 ms,5.46e+01 ms,4.93e+01 ms,1.80e+02 ms,9.13e+01 MB
