dual_gaps,LMO_calls,grad_calls,obj_calls,memory,times
9.907919611140681e-8,353.0,744.0,353.0,0.455984504,5.246703248
9.907919611140681e-8,353.0,744.0,353.0,0.455984696,5.21244801
9.907919611140681e-8,353.0,744.0,353.0,0.455984744,5.232362059
9.907919611140681e-8,353.0,744.0,353.0,0.455984744,5.218632446
9.907919611140681e-8,353.0,744.0,353.0,0.455984744,5.235052498
9.907919611140681e-8,353.0,744.0,353.0,0.455984744,5.245023482
9.907919611140681e-8,353.0,744.0,353.0,0.455984744,5.223880824
9.907919611140681e-8,353.0,744.0,353.0,0.455984744,5.221115921
9.907919611140681e-8,353.0,744.0,353.0,0.455984744,5.275682433
9.907919611140681e-8,353.0,744.0,353.0,0.455984744,5.239733148
022597502
