dual_gaps,LMO_calls,grad_calls,obj_calls,memory,times
9.860064928424173e-8,3930.0,8443.0,3930.0,537.626853552,714.429577039
2.739555907960156e-7,3758.0,8073.0,3758.0,490.458436848,900.585078226
9.860064928424173e-8,3649.0,7838.0,3649.0,537.626853744,899.923392098
9.860064928424173e-8,3930.0,8443.0,3930.0,537.626853648,752.629662459
9.860064928424173e-8,3930.0,8443.0,3930.0,537.626853648,758.285985266
9.860064928424173e-8,3930.0,8443.0,3930.0,537.626853648,722.277060304
9.860064928424173e-8,3930.0,8443.0,3930.0,537.626853648,638.720943029
9.860064928424173e-8,3930.0,8443.0,3930.0,537.626853648,512.093818402
9.860064928424173e-8,3930.0,8443.0,3930.0,537.626853648,415.743759018
9.860064928424173e-8,3930.0,8443.0,3930.0,537.626853648,610.226996728
