n,min time,median time,mean time,max time,memory
100,7.92 ms,9.21 ms,9.4 ms,130.39 ms,18.46 MiB
400,156.44 ms,160.09 ms,164.72 ms,288.62 ms,107.91 MiB
800,151.61 ms,155.28 ms,163.35 ms,295.2 ms,103.27 MiB
1400,332.04 ms,342.51 ms,355.6 ms,486.74 ms,249.07 MiB
2000,1.27 s,1.33 s,1.34 s,1.53 s,987.61 MiB
3500,145.01 s,154.89 s,157.15 s,169.21 s,191.24 GiB
5000,236.4 s,250.66 s,252.52 s,269.88 s,360.91 GiB
