n,min time,median time,mean time,max time,memory
10,2.98e+02 ms,3.14e+02 ms,3.15e+02 ms,4.42e+02 ms,1.37e+02 MB
20,2.64e+03 ms,2.77e+03 ms,2.78e+03 ms,4.17e+03 ms,1.14e+03 MB
30,1.08e+04 ms,1.13e+04 ms,1.13e+04 ms,1.67e+04 ms,4.65e+03 MB
40,2.92e+04 ms,3.09e+04 ms,3.09e+04 ms,3.80e+04 ms,1.21e+04 MB
50,5.97e+04 ms,6.89e+04 ms,6.95e+04 ms,8.22e+04 ms,2.46e+04 MB
60,8.74e+04 ms,9.26e+04 ms,9.25e+04 ms,1.02e+05 ms,3.53e+04 MB
