(m x n),min time,median time,mean time,max time,memory
(100 30),1.67e-01 ms,1.85e-01 ms,1.85e-01 ms,2.88e+00 ms,1.83e-01 MB
(100 150),3.63e+00 ms,3.72e+00 ms,3.75e+00 ms,6.09e+00 ms,1.70e+00 MB
(500 200),5.73e+00 ms,6.09e+00 ms,6.09e+00 ms,8.46e+00 ms,3.08e+00 MB
(500 700),9.10e+02 ms,1.17e+03 ms,1.23e+03 ms,3.05e+03 ms,1.47e+01 MB
(1000 500),1.67e+02 ms,1.68e+02 ms,1.68e+02 ms,2.67e+02 ms,1.25e+01 MB
(1000 1200),2.21e+03 ms,2.58e+03 ms,2.69e+03 ms,7.28e+03 ms,2.82e+01 MB
(3000 1500),4.06e+03 ms,4.49e+03 ms,4.72e+03 ms,1.12e+04 ms,5.01e+01 MB
(3000 4000),3.67e+04 ms,3.78e+04 ms,3.85e+04 ms,5.16e+04 ms,1.44e+02 MB
