n,min time,median time,mean time,max time,memory
10,2.85e+02 ms,2.90e+02 ms,2.95e+02 ms,4.33e+02 ms,1.36e+02 MB
20,3.98e+03 ms,4.05e+03 ms,4.11e+03 ms,5.90e+03 ms,1.57e+03 MB
30,1.49e+04 ms,1.57e+04 ms,1.60e+04 ms,2.20e+04 ms,5.54e+03 MB
40,3.71e+04 ms,3.80e+04 ms,3.87e+04 ms,4.59e+04 ms,1.30e+04 MB
50,6.62e+04 ms,7.60e+04 ms,7.73e+04 ms,9.00e+04 ms,2.36e+04 MB
60,9.66e+04 ms,1.11e+05 ms,1.08e+05 ms,1.26e+05 ms,3.74e+04 MB
