n,min time,median time,mean time,max time,memory
100,7.44e+00 ms,8.16e+00 ms,8.11e+00 ms,1.16e+01 ms,2.16e+00 MB
250,1.27e+04 ms,1.35e+04 ms,1.36e+04 ms,1.53e+04 ms,2.01e+01 MB
500,1.75e+05 ms,1.88e+05 ms,1.88e+05 ms,1.98e+05 ms,7.29e+01 MB
700,4.01e+05 ms,4.20e+05 ms,4.27e+05 ms,4.58e+05 ms,2.55e+02 MB
850,8.17e+06 ms,8.44e+06 ms,8.44e+06 ms,8.71e+06 ms,2.41e+03 MB
1000,1.44e+07 ms,1.44e+07 ms,1.44e+07 ms,1.44e+07 ms,3.09e+03 MB
