(m x n),min time,median time,mean time,max time,memory
(100 30),4.55e+00 ms,5.11e+00 ms,5.03e+00 ms,7.08e+00 ms,5.50e+00 MB
(100 150),6.88e+01 ms,7.78e+01 ms,7.80e+01 ms,1.99e+02 ms,1.61e+02 MB
(500 200),9.36e+01 ms,1.01e+02 ms,1.01e+02 ms,2.26e+02 ms,1.89e+02 MB
(500 700),3.04e+02 ms,3.23e+02 ms,3.23e+02 ms,4.57e+02 ms,9.15e+02 MB
(1000 500),2.53e+02 ms,2.60e+02 ms,2.62e+02 ms,3.77e+02 ms,7.40e+02 MB
(1000 1200),4.49e+02 ms,4.64e+02 ms,4.67e+02 ms,5.94e+02 ms,9.55e+02 MB
(3000 1500),1.15e+03 ms,1.21e+03 ms,1.21e+03 ms,1.49e+03 ms,1.86e+03 MB
(3000 4000),4.44e+03 ms,4.55e+03 ms,4.57e+03 ms,5.65e+03 ms,3.82e+03 MB
