(m x n),min time,median time,mean time,max time,memory
(100 30),193.34 μs,203.92 μs,222.52 μs,4.28 ms,221.83 KiB
(100 150),1.55 ms,1.61 ms,1.65 ms,4.46 ms,1.01 MiB
(500 200),2.23 ms,2.44 ms,2.5 ms,5.46 ms,2.0 MiB
(500 700),419.31 ms,449.94 ms,454.39 ms,727.81 ms,8.27 MiB
(1000 500),49.75 ms,50.13 ms,50.19 ms,105.91 ms,9.86 MiB
(1000 1200),1.09 s,1.15 s,1.18 s,2.41 s,18.6 MiB
(3000 1500),3.37 s,4.41 s,4.37 s,6.28 s,48.8 MiB
(3000 4000),15.6 s,18.47 s,18.44 s,26.2 s,130.08 MiB
