n,min time,median time,mean time,max time,memory
100,9.19 ms,9.94 ms,10.03 ms,73.17 ms,10.85 MiB
250,12.31 s,14.69 s,14.72 s,17.18 s,437.34 MiB
500,46.92 s,51.24 s,51.16 s,54.58 s,1.75 GiB
700,308.58 s,481.5 s,483.15 s,779.76 s,13.42 GiB
850,1885.27 s,2382.18 s,2455.78 s,3547.0 s,147.75 GiB
1000,4490.19 s,4860.43 s,5059.63 s,6027.47 s,242.09 GiB
