n,min time,median time,mean time,max time,memory
50,130.2 ms,133.86 ms,134.23 ms,236.56 ms,24.82 MiB
100,9.85 s,9.93 s,10.15 s,14.96 s,514.2 MiB
150,1132.64 s,1149.29 s,1171.37 s,1271.27 s,775.62 MiB
200,1592.56 s,1670.37 s,1678.04 s,1802.58 s,972.66 MiB
250,4142.68 s,4339.15 s,4308.66 s,4413.67 s,1.13 GiB
300,6834.26 s,7106.47 s,7052.76 s,7217.54 s,1.49 GiB
