(m x n),min time,median time,mean time,max time,memory
(100 30),145.14 μs,160.31 μs,161.94 μs,2.03 ms,153.31 KiB
(100 150),2.62 ms,2.71 ms,2.74 ms,4.77 ms,1.27 MiB
(500 200),4.18 ms,4.45 ms,4.47 ms,6.48 ms,2.36 MiB
(500 700),687.56 ms,987.76 ms,1.0 s,2.46 s,11.17 MiB
(1000 500),113.1 ms,114.45 ms,114.51 ms,120.14 ms,8.82 MiB
(1000 1200),1.94 s,3.77 s,3.67 s,6.42 s,20.71 MiB
(3000 1500),3.75 s,6.28 s,6.18 s,10.74 s,37.65 MiB
(3000 4000),30.95 s,39.4 s,39.1 s,49.18 s,111.41 MiB
