n,min time,median time,mean time,max time,memory
100,55.35 ms,58.1 ms,73.25 ms,183.35 ms,97.96 MiB
400,16.52 ms,18.05 ms,20.02 ms,138.18 ms,29.4 MiB
800,54.33 ms,57.2 ms,72.19 ms,182.07 ms,96.91 MiB
1400,147.76 ms,157.33 ms,173.52 ms,288.14 ms,270.3 MiB
2000,253.78 ms,273.52 ms,300.28 ms,410.27 ms,539.61 MiB
3500,11.99 s,13.4 s,13.54 s,17.62 s,15.54 GiB
5000,102.82 s,114.17 s,114.65 s,129.22 s,76.73 GiB
