(m x n),min time,median time,mean time,max time,memory
(100 30),4.62 ms,5.05 ms,4.94 ms,8.95 ms,4.65 MiB
(100 150),97.46 ms,106.04 ms,106.21 ms,286.94 ms,149.82 MiB
(500 200),89.46 ms,97.64 ms,97.46 ms,226.92 ms,176.39 MiB
(500 700),263.48 ms,271.5 ms,296.21 ms,479.07 ms,869.4 MiB
(1000 500),258.94 ms,269.67 ms,273.35 ms,415.87 ms,702.24 MiB
(1000 1200),488.93 ms,510.68 ms,523.37 ms,715.3 ms,907.41 MiB
(3000 1500),1.17 s,1.22 s,1.23 s,1.45 s,1.73 GiB
(3000 4000),4.84 s,4.94 s,4.97 s,6.49 s,3.56 GiB
