n,min time,median time,mean time,max time,memory
50,87.33 ms,91.02 ms,91.29 ms,187.12 ms,17.37 MiB
100,10.96 s,11.44 s,11.38 s,16.09 s,680.85 MiB
150,1291.86 s,1359.68 s,1356.23 s,1415.15 s,975.56 MiB
200,1668.73 s,1791.91 s,1777.14 s,1862.51 s,1.12 GiB
250,5421.02 s,5449.75 s,5496.02 s,5617.29 s,1.47 GiB
300,6313.9 s,6547.93 s,6525.59 s,6714.94 s,1.77 GiB
