n,min time,median time,mean time,max time,memory
50,40.48 ms,43.88 ms,43.92 ms,102.88 ms,3.73 MiB
100,9.9 s,10.87 s,11.0 s,16.23 s,49.93 MiB
150,957.56 s,1036.3 s,1045.79 s,1200.97 s,64.39 MiB
200,1254.98 s,1367.97 s,1384.09 s,1526.15 s,68.08 MiB
250,2203.32 s,2703.58 s,2658.14 s,3183.38 s,78.74 MiB
300,2525.42 s,2698.27 s,2792.58 s,3524.92 s,69.68 MiB
