n,min time,median time,mean time,max time,memory
100,4.38e+00 ms,4.71e+00 ms,4.79e+00 ms,8.83e+00 ms,1.93e+00 MB
250,7.68e+04 ms,7.96e+04 ms,8.03e+04 ms,8.72e+04 ms,7.21e+01 MB
500,4.62e+04 ms,5.09e+04 ms,5.08e+04 ms,5.47e+04 ms,4.87e+01 MB
700,5.12e+05 ms,5.39e+05 ms,5.43e+05 ms,5.82e+05 ms,3.11e+02 MB
850,6.51e+06 ms,6.78e+06 ms,6.73e+06 ms,6.91e+06 ms,2.41e+03 MB
1000,1.06e+07 ms,1.12e+07 ms,1.12e+07 ms,1.19e+07 ms,3.09e+03 MB
