n,min time,median time,mean time,max time,memory
10,1.99e+02 ms,2.09e+02 ms,2.12e+02 ms,3.33e+02 ms,1.01e+02 MB
20,2.48e+03 ms,2.59e+03 ms,2.61e+03 ms,3.97e+03 ms,1.08e+03 MB
30,8.97e+03 ms,9.37e+03 ms,9.45e+03 ms,1.46e+04 ms,3.86e+03 MB
40,2.51e+04 ms,2.64e+04 ms,2.64e+04 ms,3.47e+04 ms,1.01e+04 MB
50,5.05e+04 ms,5.39e+04 ms,5.47e+04 ms,6.64e+04 ms,1.80e+04 MB
60,8.86e+04 ms,9.52e+04 ms,9.49e+04 ms,1.08e+05 ms,3.36e+04 MB
