n,min time,median time,mean time,max time,memory
100,4.46e+00 ms,4.76e+00 ms,4.84e+00 ms,7.63e+00 ms,1.93e+00 MB
250,2.62e+04 ms,2.78e+04 ms,2.87e+04 ms,3.78e+04 ms,1.21e+01 MB
500,3.13e+04 ms,3.45e+04 ms,3.46e+04 ms,3.92e+04 ms,4.41e+01 MB
700,9.34e+05 ms,1.01e+06 ms,1.01e+06 ms,1.07e+06 ms,8.56e+01 MB
850,8.05e+06 ms,8.12e+06 ms,8.12e+06 ms,8.19e+06 ms,1.29e+02 MB
1000,9.76e+06 ms,9.95e+06 ms,9.95e+06 ms,1.01e+07 ms,1.85e+02 MB
