n,min time,median time,mean time,max time,memory
100,33.28 μs,38.67 μs,47.71 μs,2.55 ms,163.23 KiB
400,103.17 μs,117.77 μs,140.74 μs,1.46 ms,294.37 KiB
800,327.27 μs,375.56 μs,416.26 μs,2.69 ms,760.62 KiB
1400,680.63 μs,713.96 μs,804.53 μs,3.5 ms,1.62 MiB
2000,846.06 μs,1.26 ms,1.61 ms,21.29 ms,2.39 MiB
3500,1.15 ms,1.26 ms,1.82 ms,71.5 ms,4.03 MiB
5000,1.76 ms,1.98 ms,5.3 ms,153.24 ms,3.6 MiB
