n,min time,median time,mean time,max time,memory
100,38.83 μs,45.06 μs,55.3 μs,2.45 ms,175.81 KiB
400,122.53 μs,139.59 μs,166.1 μs,2.74 ms,306.79 KiB
800,478.01 μs,539.21 μs,619.41 μs,3.51 ms,1.05 MiB
1400,1.41 ms,1.57 ms,1.73 ms,4.43 ms,3.2 MiB
2000,715.87 μs,758.94 μs,1.15 ms,7.72 ms,1.65 MiB
3500,1.33 ms,1.65 ms,4.35 ms,136.8 ms,4.69 MiB
5000,1.74 ms,1.89 ms,5.26 ms,153.84 ms,3.23 MiB
