n,min time,median time,mean time,max time,memory
100,3.08 ms,3.26 ms,3.33 ms,62.66 ms,9.0 MiB
400,124.87 ms,131.37 ms,145.16 ms,262.93 ms,172.91 MiB
800,18.22 ms,19.38 ms,20.75 ms,149.16 ms,34.25 MiB
1400,45.47 ms,48.01 ms,57.0 ms,178.48 ms,89.43 MiB
2000,2.51 s,2.61 s,2.67 s,3.77 s,4.6 GiB
3500,4.46 s,4.72 s,4.8 s,6.24 s,11.08 GiB
5000,4.42 s,4.64 s,4.73 s,6.02 s,11.56 GiB
